mgss,colors
Gardnerella_vaginalis_C_4,#9DAAD5
Gardnerella_vaginalis_C_5,#ADB8DC
Gardnerella_vaginalis_C_6,#BEC6E3
Gardnerella_vaginalis_C_7,#CED5EA
Gardnerella_vaginalis_C_8,#DFE3F1
Gardnerella_vaginalis_C_9,#F0F2F8
Gardnerella_vaginalis_D,#5165B5
Gardnerella_vaginalis_D_1,#6375BD
Gardnerella_vaginalis_D_2,#7484C4
Gardnerella_vaginalis_D_3,#8694CB
Gardnerella_vaginalis_D_4,#97A3D3
Gardnerella_vaginalis_D_5,#A9B3DA
Gardnerella_vaginalis_D_6,#BAC2E2
Gardnerella_vaginalis_D_7,#CCD2E9
Gardnerella_vaginalis_D_8,#DDE1F0
Gardnerella_vaginalis_D_9,#EFF1F8
Gardnerella_vaginalis_E,#627BBE
Gardnerella_vaginalis_E_1,#7288C5
Gardnerella_vaginalis_E_2,#8295CB
Gardnerella_vaginalis_E_3,#91A3D2
Gardnerella_vaginalis_E_4,#A1B0D8
Gardnerella_vaginalis_E_5,#B1BDDF
Gardnerella_vaginalis_E_6,#C1CBE5
Gardnerella_vaginalis_E_7,#D1D8EC
Gardnerella_vaginalis_E_8,#E0E5F2
Gardnerella_vaginalis_E_9,#F0F3F9
Gardnerella_vaginalis_F,#6B86C3
Gardnerella_vaginalis_F_1,#7A92C9
Gardnerella_vaginalis_F_2,#899ECF
Gardnerella_vaginalis_F_3,#98AAD5
Gardnerella_vaginalis_F_4,#A7B7DB
Gardnerella_vaginalis_F_5,#B5C3E1
Gardnerella_vaginalis_F_6,#C4CFE7
Gardnerella_vaginalis_F_7,#D3DBED
Gardnerella_vaginalis_F_8,#E2E7F3
Gardnerella_vaginalis_F_9,#F1F4F9
Gardnerella_vaginalis_H,#7491C7
Gardnerella_vaginalis_H_1,#829CCD
Gardnerella_vaginalis_H_2,#90A7D2
Gardnerella_vaginalis_H_3,#9EB2D8
Gardnerella_vaginalis_H_4,#ACBDDD
Gardnerella_vaginalis_H_5,#BAC8E3
Gardnerella_vaginalis_H_6,#C8D3E9
Gardnerella_vaginalis_H_7,#D6DEEE
Gardnerella_vaginalis_H_8,#E4E9F4
Gardnerella_vaginalis_H_9,#F2F5F9
KA00274_sp902373515,#3CB170
KA00274_sp902373515_1,#50B97E
KA00274_sp902373515_2,#64C18D
KA00274_sp902373515_3,#77C99B
KA00274_sp902373515_4,#8BD0AA
KA00274_sp902373515_5,#9ED8B8
KA00274_sp902373515_6,#B2E0C6
KA00274_sp902373515_7,#C6E8D5
KA00274_sp902373515_8,#D9F0E3
KA00274_sp902373515_9,#EDF7F2
Lactobacillus_crispatus,#FF0202
Lactobacillus_crispatus_1,#FF1C1C
Lactobacillus_crispatus_2,#FF3535
Lactobacillus_crispatus_3,#FF4F4F
Lactobacillus_crispatus_4,#FF6868
Lactobacillus_crispatus_5,#FF8282
Lactobacillus_crispatus_6,#FF9B9B
Lactobacillus_crispatus_7,#FFB5B5
Lactobacillus_crispatus_8,#FFCECE
Lactobacillus_crispatus_9,#FFE8E8
Lactobacillus_gasseri,#87BF4E
Lactobacillus_gasseri_1,#93C660
Lactobacillus_gasseri_2,#9FCC72
Lactobacillus_gasseri_3,#ABD284
Lactobacillus_gasseri_4,#B7D995
Lactobacillus_gasseri_5,#C3DFA7
Lactobacillus_gasseri_6,#CFE6B9
Lactobacillus_gasseri_7,#DBECCB
Lactobacillus_gasseri_8,#E8F2DD
Lactobacillus_gasseri_9,#F4F9EE
Lactobacillus_iners,#FF8D02
Lactobacillus_iners_1,#FF981C
Lactobacillus_iners_2,#FFA435
Lactobacillus_iners_3,#FFAF4F
Lactobacillus_iners_4,#FFBB68
Lactobacillus_iners_5,#FFC682
Lactobacillus_iners_6,#FFD29B
Lactobacillus_iners_7,#FFDDB5
Lactobacillus_iners_8,#FFE9CE
Lactobacillus_iners_9,#FFF4E8
Lactobacillus_jensenii,#FAE50F
Lactobacillus_jensenii_1,#FAE727
Lactobacillus_jensenii_2,#FBEA3F
Lactobacillus_jensenii_3,#FBED58
Lactobacillus_jensenii_4,#FCEF70
Lactobacillus_jensenii_5,#FCF288
Lactobacillus_jensenii_6,#FDF4A0
Lactobacillus_jensenii_7,#FDF7B8
