,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Olegusella_massiliensis.2,2,18,102489,130968,16444,25398,54014,115019,522673
Oligella_urethralis,1,24,180418,197355,26636,60904,103724,163185,745874
Parvimonas_sp001552895.1,1,302,181950,318003,14977,42548,83972,180418,3208036
Parvimonas_sp001552895.2,2,153,195295,241999,14818,46851,97666,236464,1485736
Parvimonas_sp001552895.3,3,113,158582,202367,14336,41478,96244,171302,1376133
Parvimonas_sp001552895.4,4,44,136462,155966,18076,39280,69512,168750,716102
Pauljensenia_turicensis.1,1,13,33804,28925,13473,20289,28696,32868,127114
Pauljensenia_turicensis.2,2,22,205793,285869,20026,55176,83884,184436,1194339
Peptoniphilus_harei.1,1,108,178507,306212,28238,49753,87164,179252,2556346
Peptoniphilus_harei.2,2,50,143938,230471,21319,37510,58790,125899,1393521
Porphyromonas,1,20,410420,676074,13451,56718,120963,368932,2543007
Porphyromonas_asaccharolytica,1,64,375151,789212,17275,69276,167794,327494,5981514
Porphyromonas_sp001552775.1,1,42,370566,516616,15587,55697,151578,401771,2501036
Porphyromonas_sp001552775.2,2,31,271350,877129,12565,29240,61214,165955,4937227
Porphyromonas_sp001552775.3,3,22,76972,222571,11372,17848,22555,30164,1068156
Porphyromonas_sp001552775.4,4,16,31177,19679,11120,16958,26587,35411,84131
Porphyromonas_sp001808555,1,31,101794,141392,15861,34624,57358,105298,768103
Porphyromonas_uenonis.1,1,93,923703,1343374,34979,225239,479682,964981,8367542
Porphyromonas_uenonis.2,2,72,129049,452876,14815,29051,45947,75876,3656133
Porphyromonas_uenonis.3,3,62,138172,184663,14825,30665,69698,154064,1201732
Porphyromonas_uenonis.4,4,30,81655,64331,17498,31498,51772,115698,245393
Porphyromonas_uenonis.5,5,12,80816,49221,19316,36049,81694,113643,159164
Prevotella,1,678,207641,247919,8142,62832,123329,255514,2822875
Prevotella_amnii.1,1,104,1116479,2394547,30729,168600,419956,890911,16841153
Prevotella_amnii.2,2,94,671832,786249,29495,190805,378170,782559,3902275
Prevotella_amnii.3,3,77,841329,1162855,27215,154834,392691,1138396,5669256
Prevotella_amnii.4,4,67,1173894,2418925,23211,125762,379062,1318237,16985479
Prevotella_amnii.5,5,61,1137326,1696024,19643,105815,439359,1506217,9596594
Prevotella_amnii.6,6,42,1124912,1316613,40119,255224,570463,1390948,5745207
Prevotella_amnii.7,7,42,1031655,1268487,52271,265297,692048,1370998,7595628
Prevotella_amnii.8,8,40,572371,604789,19700,108418,336606,784093,2251502
Prevotella_amnii.9,9,37,597222,760280,25324,105418,356668,728901,3792392
Prevotella_amnii.10,10,30,571181,1065359,23575,124996,293798,434724,5590106
Prevotella_amnii.11,11,24,594890,868663,39085,150770,299886,600105,4157901
Prevotella_melaninogenica,1,82,494329,870035,19732,58959,160648,524892,4457960
Prevotella_sp000479005.1,1,28,291824,224874,71247,144188,212516,360822,1005208
Prevotella_sp000479005.2,2,17,327727,353048,48794,107730,241106,301044,1476843
Prevotella_sp000479005.3,3,16,535844,647670,73903,140978,229506,800956,2379120
Prevotella_sp000479005.4,4,10,283082,219741,81125,126806,230288,378839,797146
Prevotella_sp000758925.1,1,63,146751,266924,24752,40522,55454,121355,1843269
Prevotella_sp000758925.2,2,54,587247,926990,28280,96984,231629,717844,4695987
Prevotella_sp000758925.3,3,48,712054,1083932,43438,166582,378892,784904,6164011
Prevotella_sp000758925.4,4,35,759739,717826,89459,232876,455476,1023342,2864469
Prevotella_sp000758925.5,5,32,592470,771371,62911,119428,253630,701126,2911326
Prevotella_sp000758925.6,6,29,983115,1208076,95435,323369,558745,871622,4918468
Prevotella_sp000758925.7,7,28,798359,1309752,36215,112974,263786,1046934,6083142
Prevotella_sp000758925.8,8,27,745025,913855,42786,156076,354598,1117979,4424018
Prevotella_sp000758925.9,9,20,488366,512195,34638,127124,352644,534969,1954363
Prevotella_sp000758925.10,10,11,674472,1641984,21400,87600,178362,232284,5599672
Prevotella_spNov3.1,1,113,872217,797650,30613,241039,711808,1213808,3633230
Prevotella_spNov3.2,2,105,1383513,2180338,26392,324221,758007,1779852,17323875
Prevotella_spNov3.3,3,80,777875,1663440,25638,152040,415107,785894,13429757
Prevotella_spNov3.4,4,69,973612,1766367,23524,214446,420865,757737,11366946
Prevotella_spNov3.5,5,66,711288,737569,31586,191705,537890,1000314,3475946
Prevotella_spNov3.6,6,32,138740,129513,27180,48981,88285,155728,522014
Prevotella_timonensis.1,1,210,1010053,1394664,24759,205938,487956,1268783,10250310
Prevotella_timonensis.2,2,227,313625,516707,26332,76658,124809,336016,4562256
Prevotella_timonensis.3,3,161,468348,880750,22436,75888,174065,483708,7080734
